Mesocosm,swamp,days,veg,water,fire,biomass
CAT_CH_01,CAT,592,ch,H,ub,48.9306
CAT_CH_02,CAT,592,ch,L,ub,26.1981
CAT_CH_03,CAT,592,ch,L,ub,59.6971
CAT_CH_06,CAT,592,ch,L,ub,18.5527
CAT_CH_07,CAT,592,ch,H,ub,57.6947
CAT_CH_09,CAT,592,ch,M,ub,33.0692
CAT_CH_11,CAT,592,ch,M,ub,29.914
CAT_CH_12,CAT,592,ch,H,ub,32.5164
CAT_CH_16,CAT,592,ch,H,ub,33.9921
CAT_CH_19,CAT,592,ch,M,ub,31.6765
CAT_CH_20,CAT,592,ch,H,ub,39.5064
CAT_CH_22,CAT,592,ch,L,ub,11.8197
CAT_CH_28,CAT,592,ch,M,ub,37.3533
CAT_CH_29,CAT,592,ch,L,ub,19.0762
CAT_CH_31,CAT,592,ch,M,ub,28.5251
CAT_TT_02,CAT,592,tt,M,ub,29.2832
CAT_TT_03,CAT,592,tt,H,ub,25.3119
CAT_TT_05,CAT,592,tt,H,ub,20.6747
CAT_TT_08,CAT,592,tt,M,ub,53.6688
CAT_TT_10,CAT,592,tt,L,ub,19.624
CAT_TT_13,CAT,592,tt,L,ub,21.8677
CAT_TT_15,CAT,592,tt,L,ub,33.2004
CAT_TT_16,CAT,592,tt,M,ub,23.5878
CAT_TT_17,CAT,592,tt,M,ub,25.7616
CAT_TT_19,CAT,592,tt,L,ub,30.7859
CAT_TT_26,CAT,592,tt,H,ub,21.7963
CAT_TT_28,CAT,592,tt,H,ub,63.305
CAT_TT_29,CAT,592,tt,L,ub,37.055
CAT_TT_30,CAT,592,tt,M,ub,8.5661
CAT_TT_31,CAT,592,tt,H,ub,46.2588
DMP_CH_02,DMP,592,ch,H,ub,25.9506
DMP_CH_03,DMP,592,ch,L,ub,25.3399
DMP_CH_04,DMP,592,ch,M,ub,26.4348
DMP_CH_06,DMP,592,ch,L,ub,34.2488
DMP_CH_08,DMP,592,ch,H,ub,30.3964
DMP_CH_09,DMP,592,ch,M,ub,51.1654
DMP_CH_13,DMP,592,ch,M,ub,40.9043
DMP_CH_14,DMP,592,ch,L,ub,12.2709
DMP_CH_16,DMP,592,ch,L,ub,8.66205
DMP_CH_19,DMP,592,ch,H,ub,50.2329
DMP_CH_21,DMP,592,ch,L,ub,34.8244
DMP_CH_24,DMP,592,ch,M,ub,15.4835
DMP_CH_26,DMP,592,ch,H,ub,4.3649
DMP_CH_27,DMP,592,ch,M,ub,14.0329
DMP_CH_28,DMP,592,ch,H,ub,27.0656
DMP_CH_31,DMP,592,ch,L,ub,6.6162
DMP_TT_01,DMP,592,tt,H,ub,35.9896
DMP_TT_02,DMP,592,tt,M,ub,26.2391
DMP_TT_06,DMP,592,tt,L,ub,25.5823
DMP_TT_09,DMP,592,tt,H,ub,27.8557
DMP_TT_10,DMP,592,tt,H,ub,29.3807
DMP_TT_12,DMP,592,tt,H,ub,18.769
DMP_TT_13,DMP,592,tt,L,ub,22.6589
DMP_TT_14,DMP,592,tt,M,ub,47.6639
DMP_TT_15,DMP,592,tt,M,ub,49.9334
DMP_TT_16,DMP,592,tt,M,ub,19.7965
DMP_TT_22,DMP,592,tt,L,ub,28.3448
DMP_TT_23,DMP,592,tt,L,ub,12.7092
DMP_TT_28,DMP,592,tt,M,ub,40.526
DMP_TT_29,DMP,592,tt,L,ub,28.9125
DMP_TT_31,DMP,592,tt,H,ub,25.103
KT_CH_03,KT,592,ch,H,ub,9.9847
KT_CH_04,KT,592,ch,L,ub,2.4906
KT_CH_09,KT,592,ch,H,ub,21.1962
KT_CH_13,KT,592,ch,L,ub,21.4042
KT_CH_14,KT,592,ch,M,ub,38.3992
KT_CH_15,KT,592,ch,L,ub,18.0143
KT_CH_16,KT,592,ch,M,ub,16.2597
KT_CH_19,KT,592,ch,L,ub,15.6855
KT_CH_20,KT,592,ch,H,ub,14.2546
KT_CH_22,KT,592,ch,H,ub,30.0472
KT_CH_23,KT,592,ch,M,ub,6.644
KT_CH_24,KT,592,ch,L,ub,13.5271
KT_CH_25,KT,592,ch,M,ub,11.546
KT_CH_26,KT,592,ch,H,ub,10.1623
KT_CH_27,KT,592,ch,M,ub,16.8101
KT_CH_31,KT,592,ch,L,ub,19.924
KT_TT_01,KT,592,tt,H,ub,25.9894
KT_TT_02,KT,592,tt,L,ub,12.1017
KT_TT_06,KT,592,tt,L,ub,45.4376
KT_TT_08,KT,592,tt,H,ub,29.2881
KT_TT_09,KT,592,tt,M,ub,21.4722
KT_TT_10,KT,592,tt,M,ub,13.1872
KT_TT_11,KT,592,tt,M,ub,16.9178
KT_TT_12,KT,592,tt,H,ub,12.7377
KT_TT_15,KT,592,tt,H,ub,16.9069
KT_TT_16,KT,592,tt,H,ub,69.1771
KT_TT_24,KT,592,tt,L,ub,25.4865
KT_TT_25,KT,592,tt,M,ub,28.0735
KT_TT_27,KT,592,tt,M,ub,74.8714
KT_TT_29,KT,592,tt,L,ub,21.6738
KT_TT_30,KT,592,tt,L,ub,33.1622
KT_TT_31,KT,592,tt,L,ub,39.1357
MH_CH_01,MH,592,ch,H,ub,22.3449
MH_CH_06,MH,592,ch,M,ub,17.9832
MH_CH_09,MH,592,ch,L,ub,20.457
MH_CH_10,MH,592,ch,M,ub,34.8945
MH_CH_12,MH,592,ch,M,ub,44.6685
MH_CH_13,MH,592,ch,L,ub,35.3628
MH_CH_16,MH,592,ch,H,ub,39.4158
MH_CH_20,MH,592,ch,L,ub,32.3046
MH_CH_21,MH,592,ch,M,ub,38.4087
MH_CH_22,MH,592,ch,H,ub,16.4782
MH_CH_23,MH,592,ch,H,ub,35.9611
MH_CH_24,MH,592,ch,L,ub,19.4326
MH_CH_27,MH,592,ch,M,ub,27.978
MH_CH_28,MH,592,ch,H,ub,37.2312
MH_CH_30,MH,592,ch,L,ub,32.4696
MH_CH_31,MH,592,ch,M,ub,19.8728
MH_TT_01,MH,592,tt,M,ub,51.9872
MH_TT_06,MH,592,tt,L,ub,42.15
MH_TT_07,MH,592,tt,L,ub,14.1015
MH_TT_08,MH,592,tt,H,ub,58.7456
MH_TT_11,MH,592,tt,H,ub,39.3044
MH_TT_14,MH,592,tt,M,ub,25.5964
MH_TT_20,MH,592,tt,H,ub,15.9575
MH_TT_21,MH,592,tt,L,ub,60.3838
MH_TT_22,MH,592,tt,L,ub,74.9344
MH_TT_24,MH,592,tt,H,ub,35.4613
MH_TT_26,MH,592,tt,H,ub,11.2988
MH_TT_27,MH,592,tt,M,ub,39.3012
MH_TT_28,MH,592,tt,M,ub,40.4952
MH_TT_30,MH,592,tt,L,ub,0
MH_TT_31,MH,592,tt,M,ub,56.3265
CAT_CH_04,CAT,592,ch,M,ub,NA
CAT_CH_05,CAT,592,ch,L,ub,NA
CAT_CH_08,CAT,592,ch,H,ub,NA
CAT_CH_10,CAT,592,ch,M,ub,NA
CAT_CH_13,CAT,592,ch,H,ub,NA
CAT_CH_14,CAT,592,ch,M,ub,NA
CAT_CH_15,CAT,592,ch,H,ub,NA
CAT_CH_17,CAT,592,ch,H,ub,NA
CAT_CH_18,CAT,592,ch,M,ub,NA
CAT_CH_21,CAT,592,ch,L,ub,NA
CAT_CH_23,CAT,592,ch,H,ub,NA
CAT_CH_24,CAT,592,ch,L,ub,NA
CAT_CH_25,CAT,592,ch,M,ub,NA
CAT_CH_26,CAT,592,ch,L,ub,NA
CAT_CH_27,CAT,592,ch,M,ub,NA
CAT_CH_30,CAT,592,ch,L,ub,NA
CAT_TT_01,CAT,592,tt,L,ub,NA
CAT_TT_04,CAT,592,tt,L,ub,NA
CAT_TT_06,CAT,592,tt,H,ub,NA
CAT_TT_07,CAT,592,tt,L,ub,NA
CAT_TT_09,CAT,592,tt,H,ub,NA
CAT_TT_11,CAT,592,tt,H,ub,NA
CAT_TT_12,CAT,592,tt,H,ub,NA
CAT_TT_14,CAT,592,tt,M,ub,NA
CAT_TT_18,CAT,592,tt,M,ub,NA
CAT_TT_20,CAT,592,tt,H,ub,NA
CAT_TT_21,CAT,592,tt,L,ub,NA
CAT_TT_22,CAT,592,tt,H,ub,NA
CAT_TT_23,CAT,592,tt,M,ub,NA
CAT_TT_24,CAT,592,tt,L,ub,NA
CAT_TT_25,CAT,592,tt,M,ub,NA
CAT_TT_27,CAT,592,tt,M,ub,NA
DMP_CH_01,DMP,592,ch,L,ub,NA
DMP_CH_05,DMP,592,ch,H,ub,NA
DMP_CH_07,DMP,592,ch,M,ub,NA
DMP_CH_10,DMP,592,ch,L,ub,NA
DMP_CH_11,DMP,592,ch,M,ub,NA
DMP_CH_12,DMP,592,ch,M,ub,NA
DMP_CH_15,DMP,592,ch,H,ub,NA
DMP_CH_17,DMP,592,ch,L,ub,NA
DMP_CH_18,DMP,592,ch,L,ub,NA
DMP_CH_20,DMP,592,ch,H,ub,NA
DMP_CH_22,DMP,592,ch,H,ub,NA
DMP_CH_23,DMP,592,ch,H,ub,NA
DMP_CH_25,DMP,592,ch,L,ub,NA
DMP_CH_29,DMP,592,ch,M,ub,NA
DMP_CH_30,DMP,592,ch,M,ub,NA
DMP_TT_03,DMP,592,tt,M,ub,NA
DMP_TT_04,DMP,592,tt,H,ub,NA
DMP_TT_05,DMP,592,tt,L,ub,NA
DMP_TT_07,DMP,592,tt,L,ub,NA
DMP_TT_08,DMP,592,tt,L,ub,NA
DMP_TT_11,DMP,592,tt,H,ub,NA
DMP_TT_17,DMP,592,tt,L,ub,NA
DMP_TT_18,DMP,592,tt,M,ub,NA
DMP_TT_19,DMP,592,tt,M,ub,NA
DMP_TT_20,DMP,592,tt,M,ub,NA
DMP_TT_21,DMP,592,tt,H,ub,NA
DMP_TT_24,DMP,592,tt,H,ub,NA
DMP_TT_25,DMP,592,tt,H,ub,NA
DMP_TT_26,DMP,592,tt,M,ub,NA
DMP_TT_27,DMP,592,tt,H,ub,NA
DMP_TT_30,DMP,592,tt,L,ub,NA
KT_CH_01,KT,592,ch,L,ub,NA
KT_CH_02,KT,592,ch,M,ub,NA
KT_CH_05,KT,592,ch,H,ub,NA
KT_CH_06,KT,592,ch,H,ub,NA
KT_CH_07,KT,592,ch,L,ub,NA
KT_CH_08,KT,592,ch,M,ub,NA
KT_CH_10,KT,592,ch,L,ub,NA
KT_CH_11,KT,592,ch,H,ub,NA
KT_CH_12,KT,592,ch,H,ub,NA
KT_CH_17,KT,592,ch,M,ub,NA
KT_CH_18,KT,592,ch,M,ub,NA
KT_CH_21,KT,592,ch,L,ub,NA
KT_CH_28,KT,592,ch,H,ub,NA
KT_CH_29,KT,592,ch,L,ub,NA
KT_CH_30,KT,592,ch,M,ub,NA
KT_TT_03,KT,592,tt,L,ub,NA
KT_TT_04,KT,592,tt,M,ub,NA
KT_TT_05,KT,592,tt,L,ub,NA
KT_TT_07,KT,592,tt,H,ub,NA
KT_TT_13,KT,592,tt,H,ub,NA
KT_TT_14,KT,592,tt,M,ub,NA
KT_TT_17,KT,592,tt,H,ub,NA
KT_TT_18,KT,592,tt,M,ub,NA
KT_TT_19,KT,592,tt,M,ub,NA
KT_TT_20,KT,592,tt,H,ub,NA
KT_TT_21,KT,592,tt,L,ub,NA
KT_TT_22,KT,592,tt,L,ub,NA
KT_TT_23,KT,592,tt,H,ub,NA
KT_TT_26,KT,592,tt,L,ub,NA
KT_TT_28,KT,592,tt,M,ub,NA
MH_CH_02,MH,592,ch,L,ub,NA
MH_CH_03,MH,592,ch,M,ub,NA
MH_CH_04,MH,592,ch,H,ub,NA
MH_CH_05,MH,592,ch,L,ub,NA
MH_CH_07,MH,592,ch,H,ub,NA
MH_CH_08,MH,592,ch,M,ub,NA
MH_CH_11,MH,592,ch,M,ub,NA
MH_CH_14,MH,592,ch,M,ub,NA
MH_CH_15,MH,592,ch,L,ub,NA
MH_CH_17,MH,592,ch,L,ub,NA
MH_CH_18,MH,592,ch,H,ub,NA
MH_CH_19,MH,592,ch,H,ub,NA
MH_CH_25,MH,592,ch,L,ub,NA
MH_CH_26,MH,592,ch,M,ub,NA
MH_CH_29,MH,592,ch,H,ub,NA
MH_TT_02,MH,592,tt,M,ub,NA
MH_TT_03,MH,592,tt,H,ub,NA
MH_TT_04,MH,592,tt,L,ub,NA
MH_TT_05,MH,592,tt,L,ub,NA
MH_TT_09,MH,592,tt,H,ub,NA
MH_TT_10,MH,592,tt,L,ub,NA
MH_TT_12,MH,592,tt,L,ub,NA
MH_TT_13,MH,592,tt,H,ub,NA
MH_TT_15,MH,592,tt,H,ub,NA
MH_TT_16,MH,592,tt,L,ub,NA
MH_TT_17,MH,592,tt,M,ub,NA
MH_TT_18,MH,592,tt,M,ub,NA
MH_TT_19,MH,592,tt,M,ub,NA
MH_TT_23,MH,592,tt,H,ub,NA
MH_TT_25,MH,592,tt,L,ub,NA
MH_TT_29,MH,592,tt,M,ub,NA
CAT_CH_01,CAT,1270,ch,H,b,29.5551
CAT_CH_02,CAT,1270,ch,L,b,20.519
CAT_CH_03,CAT,1270,ch,L,b,21.0322
CAT_CH_06,CAT,1270,ch,L,b,31.4811
CAT_CH_07,CAT,1270,ch,H,b,50.1852
CAT_CH_09,CAT,1270,ch,M,b,29.3499
CAT_CH_11,CAT,1270,ch,M,b,21.5973
CAT_CH_12,CAT,1270,ch,H,b,25.3267
CAT_CH_16,CAT,1270,ch,H,b,17.3374
CAT_CH_19,CAT,1270,ch,M,b,22.5325
CAT_CH_20,CAT,1270,ch,H,b,34.7075
CAT_CH_22,CAT,1270,ch,L,b,5.5341
CAT_CH_28,CAT,1270,ch,M,b,32.5612
CAT_CH_29,CAT,1270,ch,L,b,15.9388
CAT_CH_31,CAT,1270,ch,M,b,17.4086
CAT_TT_02,CAT,1270,tt,M,b,8.8475
CAT_TT_03,CAT,1270,tt,H,b,21.7462
CAT_TT_05,CAT,1270,tt,H,b,24.0975
CAT_TT_08,CAT,1270,tt,M,b,21.5739
CAT_TT_10,CAT,1270,tt,L,b,0.4136
CAT_TT_13,CAT,1270,tt,L,b,0.0751
CAT_TT_15,CAT,1270,tt,L,b,4.2165
CAT_TT_16,CAT,1270,tt,M,b,33.2035
CAT_TT_17,CAT,1270,tt,M,b,9.6823
CAT_TT_19,CAT,1270,tt,L,b,14.0224
CAT_TT_26,CAT,1270,tt,H,b,7.0121
CAT_TT_28,CAT,1270,tt,H,b,20.2355
CAT_TT_29,CAT,1270,tt,L,b,3.6562
CAT_TT_30,CAT,1270,tt,M,b,3.6882
CAT_TT_31,CAT,1270,tt,H,b,36.7505
DMP_CH_02,DMP,1270,ch,H,b,24.1632
DMP_CH_03,DMP,1270,ch,L,b,11.3895
DMP_CH_04,DMP,1270,ch,M,b,19.2246
DMP_CH_06,DMP,1270,ch,L,b,20.8207
DMP_CH_08,DMP,1270,ch,H,b,22.8717
DMP_CH_09,DMP,1270,ch,M,b,20.7365
DMP_CH_13,DMP,1270,ch,M,b,17.6234
DMP_CH_14,DMP,1270,ch,L,b,4.8233
DMP_CH_16,DMP,1270,ch,L,b,11.6488
DMP_CH_19,DMP,1270,ch,H,b,36.3375
DMP_CH_21,DMP,1270,ch,L,b,15.8261
DMP_CH_24,DMP,1270,ch,M,b,19.9574
DMP_CH_26,DMP,1270,ch,H,b,0
DMP_CH_27,DMP,1270,ch,M,b,13.6049
DMP_CH_28,DMP,1270,ch,H,b,13.6439
DMP_CH_31,DMP,1270,ch,L,b,4.5575
DMP_TT_01,DMP,1270,tt,H,b,17.4026
DMP_TT_02,DMP,1270,tt,M,b,7.9169
DMP_TT_06,DMP,1270,tt,L,b,0.3038
DMP_TT_09,DMP,1270,tt,H,b,19.462
DMP_TT_10,DMP,1270,tt,H,b,29.6555
DMP_TT_12,DMP,1270,tt,H,b,20.8464
DMP_TT_13,DMP,1270,tt,L,b,0
DMP_TT_14,DMP,1270,tt,M,b,38.823
DMP_TT_15,DMP,1270,tt,M,b,76.2915
DMP_TT_16,DMP,1270,tt,M,b,19.4637
DMP_TT_22,DMP,1270,tt,L,b,18.7554
DMP_TT_23,DMP,1270,tt,L,b,0
DMP_TT_28,DMP,1270,tt,M,b,5.2877
DMP_TT_29,DMP,1270,tt,L,b,0
DMP_TT_31,DMP,1270,tt,H,b,26.1862
KT_CH_03,KT,1270,ch,H,b,3.8831
KT_CH_04,KT,1270,ch,L,b,0
KT_CH_09,KT,1270,ch,H,b,14.3461
KT_CH_13,KT,1270,ch,L,b,16.5938
KT_CH_14,KT,1270,ch,M,b,21.5613
KT_CH_15,KT,1270,ch,L,b,0
KT_CH_16,KT,1270,ch,M,b,1.8797
KT_CH_19,KT,1270,ch,L,b,0.9762
KT_CH_20,KT,1270,ch,H,b,3.2901
KT_CH_22,KT,1270,ch,H,b,181.6883
KT_CH_23,KT,1270,ch,M,b,5.6492
KT_CH_24,KT,1270,ch,L,b,0
KT_CH_25,KT,1270,ch,M,b,1.9694
KT_CH_26,KT,1270,ch,H,b,153.7891
KT_CH_27,KT,1270,ch,M,b,3.2269
KT_CH_31,KT,1270,ch,L,b,6.4698
KT_TT_01,KT,1270,tt,H,b,3.0258
KT_TT_02,KT,1270,tt,L,b,5.6452
KT_TT_06,KT,1270,tt,L,b,14.5258
KT_TT_08,KT,1270,tt,H,b,12.0865
KT_TT_09,KT,1270,tt,M,b,0.8097
KT_TT_10,KT,1270,tt,M,b,3.4436
KT_TT_11,KT,1270,tt,M,b,5.2863
KT_TT_12,KT,1270,tt,H,b,15.0822
KT_TT_15,KT,1270,tt,H,b,21.0281
KT_TT_16,KT,1270,tt,H,b,8.3163
KT_TT_24,KT,1270,tt,L,b,0
KT_TT_25,KT,1270,tt,M,b,12.002
KT_TT_27,KT,1270,tt,M,b,17.1192
KT_TT_29,KT,1270,tt,L,b,0
KT_TT_31,KT,1270,tt,L,b,0
MH_CH_01,MH,1270,ch,H,b,10.5764
MH_CH_06,MH,1270,ch,M,b,0
MH_CH_09,MH,1270,ch,L,b,7.9196
MH_CH_10,MH,1270,ch,M,b,7.1169
MH_CH_12,MH,1270,ch,M,b,39.9495
MH_CH_13,MH,1270,ch,L,b,1.4471
MH_CH_16,MH,1270,ch,H,b,23.3356
MH_CH_20,MH,1270,ch,L,b,18.4733
MH_CH_21,MH,1270,ch,M,b,27.3266
MH_CH_22,MH,1270,ch,H,b,3.797
MH_CH_23,MH,1270,ch,H,b,22.7784
MH_CH_24,MH,1270,ch,L,b,29.2275
MH_CH_27,MH,1270,ch,M,b,26.0208
MH_CH_28,MH,1270,ch,H,b,27.6578
MH_CH_30,MH,1270,ch,L,b,10.5656
MH_CH_31,MH,1270,ch,M,b,6.1854
MH_TT_01,MH,1270,tt,M,b,13.937
MH_TT_06,MH,1270,tt,L,b,11.2579
MH_TT_07,MH,1270,tt,L,b,35.5331
MH_TT_08,MH,1270,tt,H,b,6.8397
MH_TT_11,MH,1270,tt,H,b,6.3789
MH_TT_14,MH,1270,tt,M,b,13.1109
MH_TT_20,MH,1270,tt,H,b,17.9739
MH_TT_21,MH,1270,tt,L,b,2.1778
MH_TT_22,MH,1270,tt,L,b,11.3245
MH_TT_24,MH,1270,tt,H,b,16.7637
MH_TT_26,MH,1270,tt,H,b,1.9312
MH_TT_27,MH,1270,tt,M,b,31.1677
MH_TT_28,MH,1270,tt,M,b,6.5575
MH_TT_30,MH,1270,tt,L,b,0
MH_TT_31,MH,1270,tt,M,b,1.7049
CAT_CH_04,CAT,1270,ch,M,ub,32.8836
CAT_CH_05,CAT,1270,ch,L,ub,30.508
CAT_CH_08,CAT,1270,ch,H,ub,73.967
CAT_CH_10,CAT,1270,ch,M,ub,30.8249
CAT_CH_13,CAT,1270,ch,H,ub,64.9326
CAT_CH_14,CAT,1270,ch,M,ub,76.3203
CAT_CH_15,CAT,1270,ch,H,ub,53.8706
CAT_CH_17,CAT,1270,ch,H,ub,36.4697
CAT_CH_18,CAT,1270,ch,M,ub,36.6796
CAT_CH_21,CAT,1270,ch,L,ub,32.7408
CAT_CH_23,CAT,1270,ch,H,ub,33.5006
CAT_CH_24,CAT,1270,ch,L,ub,15.3507
CAT_CH_25,CAT,1270,ch,M,ub,38.8725
CAT_CH_26,CAT,1270,ch,L,ub,29.5249
CAT_CH_27,CAT,1270,ch,M,ub,43.3344
CAT_CH_30,CAT,1270,ch,L,ub,42.0116
CAT_TT_01,CAT,1270,tt,L,ub,0
CAT_TT_04,CAT,1270,tt,L,ub,38.4356
CAT_TT_06,CAT,1270,tt,H,ub,28.8207
CAT_TT_07,CAT,1270,tt,L,ub,9.4898
CAT_TT_09,CAT,1270,tt,H,ub,17.6307
CAT_TT_11,CAT,1270,tt,H,ub,20.3189
CAT_TT_12,CAT,1270,tt,H,ub,25.136
CAT_TT_14,CAT,1270,tt,M,ub,55.9104
CAT_TT_18,CAT,1270,tt,M,ub,28.3543
CAT_TT_20,CAT,1270,tt,H,ub,39.6246
CAT_TT_21,CAT,1270,tt,L,ub,20.2064
CAT_TT_22,CAT,1270,tt,H,ub,30.0816
CAT_TT_23,CAT,1270,tt,M,ub,38.1235
CAT_TT_24,CAT,1270,tt,L,ub,24.543
CAT_TT_25,CAT,1270,tt,M,ub,38.3734
CAT_TT_27,CAT,1270,tt,M,ub,25.3482
DMP_CH_01,DMP,1270,ch,L,ub,26.5976
DMP_CH_05,DMP,1270,ch,H,ub,46.4121
DMP_CH_07,DMP,1270,ch,M,ub,22.5224
DMP_CH_10,DMP,1270,ch,L,ub,10.1792
DMP_CH_11,DMP,1270,ch,M,ub,26.9303
DMP_CH_12,DMP,1270,ch,M,ub,31.1952
DMP_CH_15,DMP,1270,ch,H,ub,61.3147
DMP_CH_17,DMP,1270,ch,L,ub,16.7424
DMP_CH_18,DMP,1270,ch,L,ub,26.5633
DMP_CH_20,DMP,1270,ch,H,ub,48.9443
DMP_CH_22,DMP,1270,ch,H,ub,29.3248
DMP_CH_23,DMP,1270,ch,H,ub,8.9756
DMP_CH_25,DMP,1270,ch,L,ub,18.4207
DMP_CH_29,DMP,1270,ch,M,ub,34.3097
DMP_CH_30,DMP,1270,ch,M,ub,40.4758
DMP_TT_03,DMP,1270,tt,M,ub,25.2763
DMP_TT_04,DMP,1270,tt,H,ub,48.5498
DMP_TT_05,DMP,1270,tt,L,ub,4.7782
DMP_TT_07,DMP,1270,tt,L,ub,7.3344
DMP_TT_08,DMP,1270,tt,L,ub,9.5825
DMP_TT_11,DMP,1270,tt,H,ub,53.8173
DMP_TT_17,DMP,1270,tt,L,ub,0.699
DMP_TT_18,DMP,1270,tt,M,ub,30.2485
DMP_TT_19,DMP,1270,tt,M,ub,43.867
DMP_TT_20,DMP,1270,tt,M,ub,47.0381
DMP_TT_21,DMP,1270,tt,H,ub,67.5083
DMP_TT_24,DMP,1270,tt,H,ub,16.7853
DMP_TT_25,DMP,1270,tt,H,ub,19.2444
DMP_TT_26,DMP,1270,tt,M,ub,61.1155
DMP_TT_27,DMP,1270,tt,H,ub,44.483
DMP_TT_30,DMP,1270,tt,L,ub,15.9453
KT_CH_01,KT,1270,ch,L,ub,0
KT_CH_02,KT,1270,ch,M,ub,24.0553
KT_CH_05,KT,1270,ch,H,ub,25.0276
KT_CH_06,KT,1270,ch,H,ub,18.1762
KT_CH_07,KT,1270,ch,L,ub,0
KT_CH_08,KT,1270,ch,M,ub,18.2696
KT_CH_10,KT,1270,ch,L,ub,29.4389
KT_CH_11,KT,1270,ch,H,ub,377.6574
KT_CH_12,KT,1270,ch,H,ub,216.3001
KT_CH_17,KT,1270,ch,M,ub,36.7984
KT_CH_18,KT,1270,ch,M,ub,26.6243
KT_CH_21,KT,1270,ch,L,ub,13.5225
KT_CH_28,KT,1270,ch,H,ub,31.9963
KT_CH_29,KT,1270,ch,L,ub,3.0385
KT_CH_30,KT,1270,ch,M,ub,27.6088
KT_TT_03,KT,1270,tt,L,ub,12.083
KT_TT_04,KT,1270,tt,M,ub,26.1764
KT_TT_05,KT,1270,tt,L,ub,10.2962
KT_TT_07,KT,1270,tt,H,ub,13.1622
KT_TT_13,KT,1270,tt,H,ub,13.6165
KT_TT_14,KT,1270,tt,M,ub,24.4394
KT_TT_17,KT,1270,tt,H,ub,16.0172
KT_TT_18,KT,1270,tt,M,ub,36.8314
KT_TT_19,KT,1270,tt,M,ub,62.5023
KT_TT_20,KT,1270,tt,H,ub,155.9867
KT_TT_21,KT,1270,tt,L,ub,10.037
KT_TT_22,KT,1270,tt,L,ub,15.844
KT_TT_23,KT,1270,tt,H,ub,5.1764
KT_TT_26,KT,1270,tt,L,ub,15.7773
KT_TT_28,KT,1270,tt,M,ub,14.8976
MH_CH_02,MH,1270,ch,L,ub,5.876
MH_CH_03,MH,1270,ch,M,ub,28.5291
MH_CH_04,MH,1270,ch,H,ub,23.6624
MH_CH_05,MH,1270,ch,L,ub,25.5073
MH_CH_07,MH,1270,ch,H,ub,49.1086
MH_CH_08,MH,1270,ch,M,ub,34.7526
MH_CH_11,MH,1270,ch,M,ub,17.4716
MH_CH_14,MH,1270,ch,M,ub,37.4736
MH_CH_15,MH,1270,ch,L,ub,4.6237
MH_CH_17,MH,1270,ch,L,ub,7.7081
MH_CH_18,MH,1270,ch,H,ub,23.4166
MH_CH_19,MH,1270,ch,H,ub,14.9872
MH_CH_25,MH,1270,ch,L,ub,5.7091
MH_CH_26,MH,1270,ch,M,ub,18.156
MH_CH_29,MH,1270,ch,H,ub,46.3072
MH_TT_02,MH,1270,tt,M,ub,26.3059
MH_TT_03,MH,1270,tt,H,ub,52.125
MH_TT_04,MH,1270,tt,L,ub,23.7842
MH_TT_05,MH,1270,tt,L,ub,22.2401
MH_TT_09,MH,1270,tt,H,ub,18.2754
MH_TT_10,MH,1270,tt,L,ub,11.7073
MH_TT_12,MH,1270,tt,L,ub,16.3922
MH_TT_13,MH,1270,tt,H,ub,11.3942
MH_TT_15,MH,1270,tt,H,ub,13.3249
MH_TT_16,MH,1270,tt,L,ub,24.9754
MH_TT_17,MH,1270,tt,M,ub,21.5987
MH_TT_18,MH,1270,tt,M,ub,23.6761
MH_TT_19,MH,1270,tt,M,ub,10.841
MH_TT_23,MH,1270,tt,H,ub,20.6857
MH_TT_25,MH,1270,tt,L,ub,11.2965
MH_TT_29,MH,1270,tt,M,ub,29.1091
